Title;l1Num;QID;Labels
Information retrieval system evaluation is complicated by the need for manually assessed relevance judgments. Large manually-built directories on the web open the door to new evaluation procedures. By assuming that web pages are the known relevant items for queries that exactly match their title;1;[27318, 190258, 12621536, 201456, 466, 36794, 190686, 36774, 859965, 11169, 56019];['test', 'need', 'judgment', 'directory', 'World Wide Web', 'door', 'subroutine', 'web page', 'item', 'question mark', 'military rank']
We review a query log of hundreds of millions of queries that constitute the total query traffic for an entire week of a general-purpose commercial web search service. Previously;1;[11197, 38526, 313354, 11169, 11169, 23387, 466, 706622];['logarithm', '1,000,000', 'hundred', 'question mark', 'question mark', 'week', 'World Wide Web', 'intention']
We describe a method for improving the precision of metasearch results based upon scoring the visual features of documents' surrogate representations. These surrogate scores are used during fusion in place of the original scores or ranks provided by the underlying search engines. Visual features are extracted from typical search result surrogate information;1;[190686, 19352408, 2995644, 42139305, 853614, 49848, 187947, 2593739, 82794, 187947, 56019, 19541, 42139305, 11028, 2995644, 16320113];['subroutine', 'precision', 'result', 'feature', 'identifier', 'document', 'partitur', 'fusion', 'geographic region', 'partitur', 'military rank', 'search engine', 'feature', 'information', 'result', 'The Search']
AIR represents a connectionist approach to the task of information retrieval. The system uses relevance feedback from its users to change its representation of authors;1;[5398059, 21162272, 759676, 816826, 58778, 445558, 278368, 853614, 482980];['Indian reservation of the United States', 'means', 'task', 'information retrieval', 'system', 'relevance feedback', 'user', 'identifier', 'author']
We discuss the complexity of explanation activity in human-human goal-directed dialogue;1;[723897, 423220, 131395];['complexity', 'activity', 'dialogue']
We report on a project which attempts to classify representations of the anomalous states of knowledge (ASKs) of users of document retrieval systems on the basis of structural characteristics of the representations;1;[170584, 853614, 7275, 9081, 278368, 58778, 189569, 937228, 853614];['project', 'identifier', 'state', 'knowledge', 'user', 'system', 'basis', 'property', 'identifier']
Within five years;1;[577];['year']
A high performance information filtering system has three main requirements: it must be effective in supplying users with useful information;1;[6031077, 1761598, 278368, 11028];['information filtering system', 'software requirements specification', 'user', 'information']
Although relevance feedback techniques have been investigated for more than 20 years;1;[21162272, 577];['means', 'year']
This short paper presents a light weight technique to merge results lists obtained from querying different databases. The motivation for such a technique is a general purpose search engine for Palm-OS based PDAs.;1;[11472, 11423, 27948, 8513, 644302, 21162272, 44167, 162768];['paper', 'mass', 'list', 'database', 'motivation', 'means', 'engine', 'personal digital assistant']
The thresholding of document scores has proved critical for the effectiveness of classification tasks. We review the most important approaches to thresholding;1;[2256906, 49848, 1296024, 759676, 21162272];['Thresholding', 'document', 'effectiveness', 'task', 'means']
We developed a prototype for integrated retrieval and aggregation of diverse information contained in scanned paper documents. Such complex document information processing combines several forms of image processing together with textual/linguistic processing to enable effective analysis of complex document collections;1;[207977, 27590475, 16002092, 11028, 11472, 49848, 183252, 478798, 1053535, 7754, 49848];['prototype', 'The Retrieval', 'Aggregation', 'information', 'paper', 'document', 'morphology', 'image', 'Processing', 'mathematical analysis', 'document']
We show that incorporating user behavior data can significantly improve ordering of top results in real web search setting. We examine alternatives for incorporating feedback into the ranking process and explore the contributions of user feedback compared to other common web search features. We report results of a large scale evaluation over 3;1;[42848, 14953108, 2995644, 466, 11366, 183635, 205663, 25096743, 183635, 466, 2995644, 179651];['data', 'collation', 'result', 'World Wide Web', 'alternative rock', 'feedback', 'process', 'Contribution', 'feedback', 'World Wide Web', 'result', 'scale']
This paper documents research toward building a complete lexicon containing all the words found in general newspaper text. It is intended to provide the reader with an understanding of the inherent limitations of existing vocabulary collection methods and the need for greater attention to multi-word phrases as the building blocks of text. Additionally;1;[42240, 11472, 6499736, 625642, 11032, 3445082, 46744, 7692348, 190686, 190258, 6501338, 1459435, 28457661, 234460];['research', 'paper', 'vocabulary', 'word', 'newspaper', 'reader', 'understanding', 'technical limitation', 'subroutine', 'need', 'attention', 'phrase', 'Building block', 'text']
Evaluating user preferences of web search results is crucial for search engine development;1;[278368, 466, 1395034];['user', 'World Wide Web', 'new product development']
A new variation of high order multiway tree structures;1;[214981, 223655];['variation', 'tree data structure']
We present an analysis of the structured relationships observed in a randomly sampled set of question-like queries submitted to a search engine for a popular online encyclopedic document collection. Our study shows that a relatively small number of binary relationships account for most of the queries in the sample. This empirically validates an approach of analyzing query logs to identify the relationships most relevant to user needs and populating corresponding fact tables from the collection for factoid question answering. Our analysis shows that such an approach can lead to substantial coverage of user questions.;1;[7754, 223642, 36161, 11169, 19541, 49848, 28106657, 11563, 223642, 11169, 49906, 21162272, 11169, 223642, 1972137, 3052382, 1074173, 7754, 21162272, 1798167, 278368];['mathematical analysis', 'interpersonal relationship', 'set', 'question mark', 'search engine', 'document', 'model sheet', 'number', 'interpersonal relationship', 'question mark', 'sample', 'means', 'question mark', 'interpersonal relationship', 'Fact table', 'fonds', 'question answering', 'mathematical analysis', 'means', 'coverage', 'user']
This paper presents searching approaches and user interface capabilities of DUO;1;[11472, 21162272, 47146, 1094291, 5206302];['paper', 'means', 'user interface', 'capability-based security', 'DUO']
Recent work has demonstrated that the assessment of pairwise object similarity can be approached in an axiomatic manner using information theory. We extend this concept specifically to document similarity and test the effectiveness of an information-theoretic measure for pairwise document similarity. We adapt query retrieval to rate the quality of document similarity measures and demonstrate that our proposed information-theoretic measure for document similarity yields statistically significant improvements over other popular measures of similarity.;1;[42213, 27318, 254465, 367293, 131222, 151885, 49848, 254465, 1296024, 192276, 49848, 11169, 185957, 192276, 192276, 49848, 21255975, 29017317, 254465];['work', 'test', 'similarity', 'convention', 'information theory', 'concept', 'document', 'similarity', 'effectiveness', 'measure', 'document', 'question mark', 'quality', 'measure', 'measure', 'document', 'improvement', 'similarity measure', 'similarity']
A novel Hardware Assisted Top-Doc (HAT) component is disclosed. HAT is an optimized content indexing device based on a modified inverted index structure. HAT accommodates patterns of different lengths and supports a varied posting list versus term count feature sustaining high reusability and efficiency. The developed component can be used either as an internal slave component or as an external co-processor and is efficient in resource demands as the component controllers take only a minimal percentage of the target device space leaving the majority of the space to term and posting entries. A Very High Speed Integrated Circuit (VHSIC) Hardware Description Language (VHDL) is used to model the HAT system.;1;[11653, 8261, 50825729, 1598365, 1598365, 3966, 6671777, 1598365, 2083958, 36253, 27948, 42139305, 1369184, 1034411, 11653, 11653, 33111, 180309, 1466064, 1554231, 11653, 11229, 4169, 18000, 4169, 1071233, 5380819, 173341, 80831, 1143384, 209455, 58778];['electronic component', 'novel', 'Dr DisRespect', 'heparin-induced thrombocytopenia', 'heparin-induced thrombocytopenia', 'computer hardware', 'structure', 'heparin-induced thrombocytopenia', 'pattern', 'length', 'list', 'feature', 'reusability', 'efficiency', 'electronic component', 'electronic component', 'Corsican', 'hyphen', 'processor', 'resource', 'electronic component', 'percent', 'outer space', 'age of majority', 'outer space', 'terminal emulator', 'entry', 'hardware description language', 'integrated circuit', 'VHSIC', 'VHDL', 'system']
In general terms the evaluation of a summary depends on how close it is to the chief points in the source text. This begets the question as to what are the chief points in the source text and how is this information used in itself in identifying the source text. This is crucially important when we discuss automatic evaluation of summaries. So the question of main points is the source text. Typically;1;[1071233, 27318, 7637199, 82818, 1754533, 189756, 82818, 1754533, 11028, 1754533, 27318, 7637199, 189756, 82818, 1754533];['terminal emulator', 'test', 'summary', 'railroad switch', 'source text', 'question', 'railroad switch', 'source text', 'information', 'source text', 'test', 'summary', 'question', 'railroad switch', 'source text']
Given the ranked lists of documents returned by multiple search engines in response to a given query;1;[27948, 49848, 19541, 7315950, 11169];['list', 'document', 'search engine', 'response', 'question mark']
The feature quantity;1;[42139305];['feature']
We present a unified framework for simultaneously solving both the pooling problem (the construction of efficient document pools for the evaluation of retrieval systems) and metasearch (the fusion of ranked lists returned by retrieval systems in order to increase performance). The implementation is based on the Hedge algorithm for online learning;1;[17053202, 759676, 385378, 49848, 27318, 58778, 2593739, 27948, 58778, 1473607, 35140, 245962, 8366, 7094097];['Unified Framework', 'task', 'construction', 'document', 'test', 'system', 'fusion', 'list', 'system', 'degree of a polynomial', 'performance', 'implementation', 'algorithm', 'online machine learning']
Our analysis combines the concerns of signature extraction and signature file organization which have usually been treated as separate issues. We also relax the uniform frequency and single term query assumptions and provide a comprehensive analysis for multiterm query environments where terms can be classified based on their query and database occurrence frequencies. The performance of three superimposed signature generation schemes is explored as they are applied to one dynamic signature file organization based on linear hashing: Linear Hashing with Superimposed Signatures (LHSS). First scheme (SM) allows all terms set the same number of bits regardless of their discriminatory power whereas the second and third methods (MMS and MMM) emphasize the terms with high query and low database occurrence frequencies. Of these three schemes;1;[7754, 206361, 844704, 188675, 43229, 86447, 11652, 11169, 7754, 11169, 1071233, 1190554, 11169, 8513, 35140, 959962, 43229, 6553456, 6553456, 7643450, 959962, 2211650, 1071233, 11563, 8805, 25342, 190686, 201605, 6770916, 1071233, 11169, 8513, 959962];['mathematical analysis', 'concern', 'extraction', 'signature', 'organization', 'issue', 'frequency', 'question mark', 'mathematical analysis', 'question mark', 'terminal emulator', 'occurrence', 'question mark', 'database', 'performance', 'diagram', 'organization', 'Linear hashing', 'Linear hashing', 'Superimposed', 'diagram', 'sadomasochism', 'terminal emulator', 'number', 'bit', 'power', 'subroutine', 'moment magnitude scale', 'marketing mix modeling', 'terminal emulator', 'question mark', 'database', 'diagram']
We propose a simple method for converting many standard measures of retrieval performance into metasearch algorithms. Our focus is both on the analysis of retrieval measures themselves and on the development of new metasearch algorithms. Given the conversion method proposed;1;[190686, 192276, 35140, 8366, 190909, 7754, 192276, 1395034, 8366, 190686];['subroutine', 'measure', 'performance', 'algorithm', 'focus', 'mathematical analysis', 'measure', 'new product development', 'algorithm', 'subroutine']
We consider the problem of large-scale retrieval evaluation;1;[759676, 179651];['task', 'scale']
The paper starts with a theoretical consideration of the requirements for a computerised information retrieval system to aid open learning within an educational establishment. The requirements for such a system include consideration of the need to fulfill information retrieval objectives and also educational objectives. These requirements are then considered in the context of the theoretical information retrieval work which has been carried out by Belkin and others and takes into account the representation of the user's anomalous state of knowledge. The paper then considers the practical problems of trying to implement such a system. Attention is focussed on the use of current and developing information technology to fulfill both information retrieval and educational objectives. It is shown that current systems as exemplified by PRESTEL;1;[11472, 1344851, 1761598, 121182, 385756, 574562, 1761598, 58778, 1344851, 190258, 11028, 3880557, 1761598, 196626, 11028, 283848, 1433373, 5190563, 853614, 7275, 278368, 9081, 11472, 759676, 58778, 29581389, 7901733, 11661, 3880557, 816826, 58778, 2044564];['paper', 'consideration', 'software requirements specification', 'information system', 'open learning', 'The Establishment', 'software requirements specification', 'system', 'consideration', 'need', 'information', 'objective', 'software requirements specification', 'context', 'information', 'Belkin International, Inc.', 'other', 'accountability', 'identifier', 'state', 'user', 'knowledge', 'paper', 'task', 'system', 'Attention', 'Use', 'information technology', 'objective', 'information retrieval', 'system', 'Prestel']
An evaluation methodology that targets ineffective topics is needed to support research on obtaining more consistent retrieval across topics. Using average values of traditional evaluation measures is not an appropriate methodology because it emphasizes effective topics: poorly performing topics' scores are by definition small;1;[185698, 2751586, 42240, 27590475, 2751586, 2796622, 25211005, 185698, 2751586, 187947, 2751586, 101072];['methodology', 'resolution', 'research', 'The Retrieval', 'resolution', 'mean', 'Evaluation measures', 'methodology', 'resolution', 'partitur', 'resolution', 'definition']
The following paper gives an overview on a text processing software called REALIST (Retrieval Aids by Linguistics and Statistics) which integrates different text processing techniques into a common surface. It supports the user by offering the environment of a given term;1;[11472, 7397, 27590475, 8162, 12483, 234460, 484298, 278368, 2249676, 1071233];['paper', 'software', 'The Retrieval', 'linguistics', 'statistics', 'text', 'surface', 'user', 'environment', 'terminal emulator']
A new means of evaluating the cluster hypothesis is introduced and the results of such an evaluation are presented for four collections. The results of retrieval experiments comparing a sequential search;1;[2796622, 41719, 2995644, 27318, 3052382, 2995644, 101965, 787903];['mean', 'hypothesis', 'result', 'test', 'fonds', 'result', 'experiment', 'linear search']
In organized health care;1;[31207];['health care']
The processing time and disk space requirements of an inverted index and top-down cluster search are compared. The cluster search is shown to use both more time and more disk space;1;[5293, 11471, 1671754, 206637, 206637, 11471, 5293];['floppy disk', 'time', 'Inverted index', 'computer cluster', 'computer cluster', 'time', 'floppy disk']
"This paper describes an automatic indexing procedure that uses the &ldquo;IS-A&rdquo; relations contained within WordNet and the set of nouns contained in a text to select a sense for each plysemous noun in the text. The result of the indexing procedure is a vector in which some of the terms represent word senses instead of word stems. Retrieval experiments comparing the effectivenss of these sense-based vectors vs. stem-based vectors show the stem-based vectors to be superior overall";1;[277521, 11472, 190686, 180309, 533822, 36161, 1084, 234460, 173253, 1084, 234460, 2995644, 190686, 44528, 1071233, 1570700, 625642, 101965, 44528, 44528, 44528];['relation', 'paper', 'subroutine', 'hyphen', 'WordNet', 'set', 'noun', 'text', 'sense', 'noun', 'text', 'result', 'subroutine', 'Euclidean vector', 'terminal emulator', 'word sense', 'word', 'experiment', 'Euclidean vector', 'Euclidean vector', 'Euclidean vector']
Transaction log analysis represents a powerful methodology which allows examination of both user commands and system responses when conducting an online information search. Machine-readable transaction log tapes from online catalogs are obtained and subsequently analyzed using stochastic pattern developments within parsed user sessions;1;[7754, 185698, 27318, 278368, 58778, 11028, 601401, 149757, 29937289, 1395034, 278368];['mathematical analysis', 'methodology', 'test', 'user', 'system', 'information', 'trade', 'Compact Audio Cassette', 'data catalog', 'new product development', 'user']
We investigate the criteria used by online searchers when assessing the relevance of web pages to information-seeking tasks. Twenty four searchers were given three tasks each;1;[5186556, 276769, 1074648, 36774, 759676, 276769, 759676];['Criteria', 'The Searchers', 'Relevance', 'web page', 'task', 'The Searchers', 'task']
Retrieval mechanisms are frequently compared by computing the respective average scores for some effectiveness metric across a common set of information needs or topics;1;[517596, 187947, 1296024, 36161, 2899888, 2751586];['mechanism', 'partitur', 'effectiveness', 'set', 'information need', 'resolution']
We report the statistically significant mean impacts of blind feedback;1;[4115667, 183635];['impact', 'feedback']
The TREC-8 Question Answering (QA) Track was the first large-scale evaluation of domain-independent question answering systems. In addition to fostering research on the QA task;1;[3213250, 836575, 179651, 58778, 32043, 42240, 836575];['The Track', 'quality assurance', 'scale', 'system', 'addition', 'research', 'quality assurance']
When investigating alternative estimates for term discriminativeness;1;[965330, 1071233];['project management estimation', 'terminal emulator']
In the selective dissemination of information (or publish/subscribe) paradigm;1;[28643, 840576, 11028];['paradigm', 'dissemination', 'information']
Hierarchical topic detection is a new task in the TDT 2004 evaluation program;1;[2751586, 759676, 40056, 7669881];['resolution', 'task', 'computer program', 'TDT']
Structural hints in XML-retrieval queries can be used to specify both the granularity of the search result (the target element) and where in a document to search (support elements). These hints might be interpreted either strictly or vaguely;1;[3135775, 11169, 28454956, 2995644, 11344, 49848, 11344, 3135775];['hint', 'question mark', 'Granularity', 'result', 'chemical element', 'document', 'chemical element', 'hint']
For many years it has been commonly held that a user who adds structural hints to a query will improve precision in an element retrieval search. At INEX 2005 we conducted an experiment to test this assumption. We present the unexpected result that structural hints in queries do not improve precision. An analysis of the topics and the judgments suggests that this is because users are particularly bad at giving structural hints.;1;[577, 278368, 3135775, 11169, 19352408, 11344, 924746, 101965, 29463760, 2995644, 3135775, 11169, 19352408, 7754, 2751586, 12621536, 278368, 3135775];['year', 'user', 'hint', 'question mark', 'precision', 'chemical element', 'Inex', 'experiment', 'modeling assumption', 'result', 'hint', 'question mark', 'precision', 'mathematical analysis', 'resolution', 'judgment', 'user', 'hint']
This paper deal with the necessity of consideration of organizational and user requirements to create the basis for the successful design of future office information servers. Today volumes of the order of 10.000 to 50.000 multimode documents and 1 to 10 million documents at a company level (companies with over 1000 employees) per system have to be archived. The average amount of filing is 12 to 16 running metres of paper per year;1;[11472, 11284009, 1344851, 1761598, 189569, 82604, 44127, 39297, 1473607, 49848, 49848, 783794, 783794, 13440398, 58778, 309314, 17146064, 11573, 11472, 577];['paper', 'Necessity', 'consideration', 'software requirements specification', 'basis', 'design', 'server', 'volume', 'degree of a polynomial', 'document', 'document', 'company', 'company', 'workforce', 'system', 'quantity', 'filing', 'metre', 'paper', 'year']
We propose a novel probabilistic retrieval model which weights terms according to their contexts in documents. The term weighting function of our model is similar to the language model and the binary independence model. The retrospective experiments (i.e.;1;[486902, 1071233, 196626, 49848, 1071233, 11348, 486902, 3621696, 3531721, 101965];['mathematical model', 'terminal emulator', 'context', 'document', 'terminal emulator', 'function', 'mathematical model', 'language model', 'Binary Independence Model', 'experiment']
Label propagation exploits the structure of the unlabeled documents by propagating the label information of the training documents to the unlabeled documents. The limitation with the existing label propagation approaches is that they can only deal with a single type of objects. We propose a framework;1;[3214296, 6671777, 49848, 11028, 49848, 49848, 7692348, 18127, 190087, 488383, 271680];['Label', 'structure', 'document', 'information', 'document', 'document', 'technical limitation', 'record label', 'data type', 'object', 'software framework']
This paper proposes an example-based phrase translation method in a Chinese to English cross-language information retrieval (CLIR) system. The method can generate much more accurate query translations than dictionary-based and common MT-based methods;1;[11472, 7553, 7850, 986551, 58778, 16952194, 190686, 7553, 190686];['paper', 'translation', 'Chinese', 'Cross-language information retrieval', 'system', 'Council on Library and Information Resources', 'subroutine', 'translation', 'subroutine']
The design of a file system has never been a simple nor a straightforward task because of its complexity. Heuristics and experience still play a major role in guiding the design process. To organize the entire design process in a more systematic manner;1;[82604, 174989, 759676, 723897, 201413, 282250, 214339, 2920267, 2920267, 367293];['design', 'file system', 'task', 'complexity', 'heuristic', 'qualia', 'role', 'Engineering design process', 'Engineering design process', 'convention']
This paper introduces a general framework for the use of translation probabilities in cross-language information retrieval based on the notion that information retrieval fundamentally requires matching what the searcher means with what the author of a document meant. That perspective yields a computational formulation that provides a natural way of combining what have been known as query and document translation. Two well-recognized techniques are shown to be a special case of this model under restrictive assumptions. Cross-language search results are reported that are statistically indistinguishable from strong monolingual baselines for both French and Chinese documents.;1;[11472, 271680, 7901733, 7553, 986551, 595523, 816826, 1192095, 482980, 49848, 20978643, 3077570, 17641254, 11169, 7553, 21162272, 2890061, 486902, 29463760, 315, 201610, 49848];['paper', 'software framework', 'Use', 'translation', 'Cross-language information retrieval', 'notion', 'information retrieval', 'Searcher', 'author', 'document', 'point of view', 'Formulation', 'Andrew John Henry Way', 'question mark', 'translation', 'means', 'special case', 'mathematical model', 'modeling assumption', 'language', 'status quo', 'document']
We propose a fully decentralized collaborative filtering approach that is self-organizing and operates in a distributed way. The relevances between downloading files (items) are stored locally at these items in so called item-based buddy tables and are updated each time that the items are downloaded. We then propose to use the language model to build recommendations for the different users based on the buddy tables of those items a user has downloaded previously. We have tested and compared our distributed collaborative filtering approach to centralized collaborative filtering and showed that it has similar performance. It is therefore a promising technique to facilitate recommendations in peer-to-peer networks.;1;[21162272, 3236990, 17641254, 1074648, 82753, 859965, 859965, 496946, 11471, 859965, 3621696, 1120221, 278368, 496946, 859965, 278368, 21162272, 94702, 35140, 21162272, 1120221, 141488, 7160407, 7160407];['means', 'self', 'Andrew John Henry Way', 'Relevance', 'computer file', 'item', 'item', 'table', 'time', 'item', 'language model', 'recommendation', 'user', 'table', 'item', 'user', 'means', 'collaborative filtering', 'performance', 'means', 'recommendation', 'graph', 'Peer of the realm', 'Peer of the realm']
Co-occurrence data is quite common in many real applications. Latent Semantic Analysis (LSA) has been successfully used to identify semantic relations in such data. However;1;[42848, 166142, 1806883, 1806883, 277521, 42848];['data', 'application', 'Latent semantic analysis', 'Latent semantic analysis', 'relation', 'data']
PageRank has been known to be a successful algorithm in ranking web sources. In order to avoid the rank sink problem;1;[184316, 8366, 466, 1473607, 56019];['PageRank', 'algorithm', 'World Wide Web', 'degree of a polynomial', 'military rank']
Memory-based methods for collaborative filtering predict new ratings by averaging (weighted) ratings between;1;[190686, 94702, 609276, 609276];['subroutine', 'collaborative filtering', 'climbing grade', 'climbing grade']
Accurately and effectively detecting the locations where search queries are truly about has huge potential impact on increasing search relevance. In this paper;1;[2221906, 11169, 4115667, 1074648, 11472];['geographic location', 'question mark', 'impact', 'Relevance', 'paper']
This paper analyzes the properties;1;[11472, 6422240];['paper', 'property']
Most existing clustering algorithms cluster highly related data objects such as Web pages and Web users separately. The interrelation among different types of data objects is either not considered;1;[42848, 206637, 8366, 36774, 466, 190087, 42848];['data', 'computer cluster', 'algorithm', 'web page', 'World Wide Web', 'data type', 'data']
We review here the results of one of the experiments performed at the 2003 Reliable Information Access (RIA) Workshop;1;[2995644, 101965, 29391000, 593289, 725485];['result', 'experiment', 'The Workshop', 'information access', 'rich Internet application']
Search algorithms incorporating some form of topic model have a long history in information retrieval. For example;1;[755673, 183252, 3532085, 309, 816826, 12335479];['search algorithm', 'morphology', 'topic model', 'history', 'information retrieval', 'template']
Contextual retrieval is a critical technique for facilitating many important applications such as mobile search;1;[27590475, 21162272, 166142, 6887228];['The Retrieval', 'means', 'application', 'Mobile search']
We present a framework in which probabilistic models for textual and visual information retrieval can be integrated seamlessly. The framework facilitates searching for imagery using textual descriptions and visual examples simultaneously. The underlying Language Models for text and Gaussian Mixture Models for images have proven successful in various retrieval tasks.;1;[271680, 486902, 816826, 271680, 4817665, 1200750, 12335479, 4044426, 234460, 11435, 478798, 759676];['software framework', 'mathematical model', 'information retrieval', 'software framework', 'imagery', 'description', 'template', 'Models', 'text', 'liquid', 'image', 'task']
The main conclusion from the metrics-based evaluation of video retrieval systems at TREC's video track is that non-interactive image retrieval from general collections using visual information only is not yet feasible. We show how a detailed analysis of retrieval results -- looking beyond mean average precision (MAP) scores on topical relevance -- gives significant insight in the main problems with the visual part of the retrieval model under study. Such an analytical approach proves an important addition to standard evaluation measures.;1;[2992075, 27318, 58778, 3312129, 10927554, 3052382, 11028, 7754, 2995644, 187947, 19352408, 635384, 1074648, 1553259, 759676, 7401, 486902, 28106657, 21162272, 32043, 25211005];['conclusion', 'test', 'system', 'track and field', 'image retrieval', 'fonds', 'information', 'mathematical analysis', 'result', 'partitur', 'precision', 'maximum a posteriori estimation', 'Relevance', 'insight', 'task', 'part', 'mathematical model', 'model sheet', 'means', 'addition', 'Evaluation measures']
In this poster we describe an investigation of topic similarity measures. We elicit assessments on the similarity of 10 pairs of topic from 76 subjects and use these as a benchmark to assess how well each measure performs. The measures have the potential to form the basis of a predictive technique;1;[429785, 21004260, 192276, 27318, 254465, 191290, 2751586, 164573, 816747, 192276, 192276, 1202245, 189569, 21162272];['poster', 'inquiry', 'measure', 'test', 'similarity', 'ordered pair', 'resolution', 'subject', 'benchmark', 'measure', 'measure', 'potential', 'basis', 'means']
We demonstrate an adaptive search system that works proactively to help searchers find relevant information. The system observes searcher interaction;1;[58778, 276769, 11028, 58778, 1665869];['system', 'The Searchers', 'information', 'system', 'interaction']
We present a system that offers a new way of assessing web document relevance and new approach to the web-based evaluation of such a system. Provisionally named WebDocSum;1;[58778, 11774623, 466, 3875179, 27318, 58778];['system', 'New Way', 'World Wide Web', 'New Approach', 'test', 'system']
We present a web search interface designed to encourage users to interact more fully with the results of a web search. Wrapping around a major commercial search engine;1;[466, 278368, 2995644, 466, 19541];['World Wide Web', 'user', 'result', 'World Wide Web', 'search engine']
In this poster;1;[429785];['poster']
